Código;nome;caloria;proteina;lipídio;carboidrato;Grupo
6300101;Arroz (polido, parboilizado, agulha, agulhinha, etc.);135,6;2,5;1,2;27,78;Cereais e leguminosas
6300201;Arroz integral;130,9;2,6;2;25,56;Cereais e leguminosas
6300701;Milho (em grão);160,1;3,3;7,2;25,11;Cereais e leguminosas
6300706;Canjiquinha de milho em grão;79,7;1,2;2,2;13,5;Cereais e leguminosas
6300707;Xerém de milho;63;1,2;0,3;13,5;Cereais e leguminosas
6301001;Amendoim (em grão) in natura;567;25,8;49,2;16,13;Cereais e leguminosas
6301101;Ervilha em grão;109,1;5,4;3,1;15,63;Cereais e leguminosas
6301201;Fava (em grão);85,6;4,8;3,2;10,1;Cereais e leguminosas
6301204;Mangalô amargo em grão;85,6;4,8;3,2;10,1;Cereais e leguminosas
6301603;Feijãodecorda;121,3;3,2;3,1;20,32;Cereais e leguminosas
6301634;Feijãoverde;121,3;3,2;3,1;20,32;Cereais e leguminosas
6302001;Semente de linhaça;534;18,3;42,2;28,88;Cereais e leguminosas
6302602;Andu;97,4;5,8;1,8;15,05;Cereais e leguminosas
6302801;Grão de bico;188,5;8,9;5,4;27,42;Cereais e leguminosas
6302901;Lentilha;136,3;9;2,7;20,13;Cereais e leguminosas
6303001;Soja em grão;196,3;16,6;11,6;9,93;Cereais e leguminosas
6303102;Feijão (preto, mulatinho, roxo, rosinha, etc.);97,4;5,8;1,8;15,05;Cereais e leguminosas
6303501;Quirera não especificada;63;1,2;0,3;13,5;Cereais e leguminosas
6304034;Feijãoverde orgânico;121,33;3,17;3,13;20,32;Cereais e leguminosas
6304101;Feijão orgânico;97,41;5,84;1,79;15,05;Cereais e leguminosas
6304201;Pipoca  light;445,94;10,77;17,78;64,85;Cereais e leguminosas
6304301;Arroz  orgânico;135,62;2,5;1,2;27,78;Cereais e leguminosas
6304401;Arroz integral orgânico;130,95;2,56;1,97;25,56;Cereais e leguminosas
6304602;Feijãodesoja orgânico;196,34;16,64;11,61;9,93;Cereais e leguminosas
6304901;Quinoa;135,47;4,37;4,33;19,83;Cereais e leguminosas
6400101;Batatainglesa;86;1,71;0,1;20,01;Hortaliças tuberosas
6400303;Mandioquinha salsa (batatabaroa);76;1,37;0,14;17,72;Hortaliças tuberosas
6400401;Batatadoce;76;1,37;0,14;17,72;Hortaliças tuberosas
6400501;Inhame;100;1,71;0,12;23,4;Hortaliças tuberosas
6400508;Quicaré;100;1,71;0,12;23,4;Hortaliças tuberosas
6400601;Mandioca;125;0,6;0,3;30,1;Hortaliças tuberosas
6400609;Aipim;125;0,6;0,3;30,1;Hortaliças tuberosas
6400610;Macaxeira;125;0,6;0,3;30,1;Hortaliças tuberosas
6400701;Cará;115,74;1,71;1,9;23,4;Hortaliças tuberosas
6400713;Inhame caraquento (cará);100;1,71;0,12;23,4;Hortaliças tuberosas
6400802;Batata (não especificada);86;1,71;0,1;20,01;Hortaliças tuberosas
6400908;Mandioquinha;76;1,37;0,14;17,72;Hortaliças tuberosas
6401001;Rabanete;16;0,68;0,1;3,4;Hortaliças tuberosas
6401201;Cenoura;41;0,93;0,24;9,58;Hortaliças tuberosas
6401301;Nabo;22;0,71;0,08;5,06;Hortaliças tuberosas
